country,country_code,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,inflation,unemployment
Afghanistan,AFG,99923077.0,,5.0,,2.0,13265444380.0,6.12,6.78
Albania,ALB,1380681818.0,2435000.0,56.0,3424800.0,23.0,11460881703.0,2.55,13.98
Algeria,DZA,296843750.0,1743818.0,1.0,2314364.0,1.0,158219923791.0,4.38,15.08
American Samoa,ASM,22000000.0,23900.0,,,,616142857.0,,8.08
Andorra,AND,1910000000.0,9276318.0,82.0,,9.0,2991857584.0,,
Angola,AGO,461590909.0,290762.0,1.0,,2.0,66312365608.0,51.8,13.64
Antigua and Barbuda,ATG,790142857.0,787477.0,79.0,,10.0,1349346963.0,2.12,8.42
Argentina,ARG,4362045455.0,5117905.0,7.0,9916625.0,12.0,405500761791.0,,10.37
Armenia,ARM,612909091.0,715727.0,23.0,721095.0,14.0,9480537948.0,3.58,15.27
Aruba,ABW,1309254544.0,1464429.0,51.0,,11.0,2637335966.0,2.35,7.81
Australia,AUS,27621954545.0,6039500.0,13.0,6692636.0,11.0,1083852545305.0,2.81,5.43
Austria,AUT,17611153846.0,22561227.0,10.0,9607810.0,6.0,372710784824.0,2.38,5.15
Azerbaijan,AZE,1182277272.0,1722500.0,6.0,2764909.0,9.0,40475835356.0,5.93,6.99
"Bahamas, The",BHS,2262727273.0,5119205.0,70.0,,10.0,10574346800.0,2.09,10.67
Bahrain,BHR,2017181818.0,7653818.0,11.0,3397600.0,8.0,26983370681.0,1.38,3.27
Bangladesh,BGD,163843750.0,217238.0,1.0,1617200.0,3.0,182727766701.0,6.47,4.16
Barbados,BRB,944444444.0,1135000.0,51.0,,7.0,4732155420.0,3.85,9.93
Belarus,BLR,677977273.0,5589333.0,2.0,7020333.0,3.0,48636334690.0,35.99,2.65
Belgium,BEL,10971315789.0,7147409.0,3.0,9378818.0,5.0,455838278356.0,2.29,7.2
Belize,BLZ,,1009818.0,,,5.0,1875126000.0,1.71,8.9
Benin,BEN,147964761.0,641684.0,11.0,,4.0,10402058144.0,2.16,1.46
Bermuda,BMU,440300000.0,566109.0,31.0,160750.0,18.0,6088140800.0,,6.29
Bhutan,BTN,65545455.0,83909.0,13.0,72000.0,5.0,1636824606.0,5.45,3.15
Bolivia,BOL,464045455.0,661014.0,8.0,614727.0,7.0,24155464170.0,4.07,3.93
Bosnia and Herzegovina,BIH,669363636.0,430545.0,15.0,,3.0,15863162126.0,2.37,22.28
Botswana,BWA,473818635.0,1658000.0,9.0,,5.0,12529104919.0,6.77,20.11
Brazil,BRA,4854727273.0,5432762.0,3.0,6010100.0,7.0,1570187630366.0,6.3,10.03
British Virgin Islands,VGB,401470588.0,313927.0,,154000.0,,,,
Brunei Darussalam,BRN,165125000.0,1982154.0,2.0,,13.0,12533948921.0,0.53,6.78
Bulgaria,BGR,3400272727.0,8124818.0,15.0,4310091.0,7.0,49717491104.0,4.65,9.68
Burkina Faso,BFA,104900000.0,191591.0,6.0,,4.0,10879428452.0,2.29,3.76
Burundi,BDI,1769231.0,150474.0,2.0,30000.0,17.0,1964058918.0,9.83,4.28
Cabo Verde,CPV,313409091.0,350227.0,55.0,,12.0,1606328837.0,2.03,15.2
Cambodia,KHM,1978318182.0,2754545.0,23.0,751000.0,3.0,18815308940.0,3.85,1.16
Cameroon,CMR,347545455.0,750143.0,6.0,,9.0,28794530501.0,2.58,4.31
